alias,canonical_name
Open,open
OPEN,open
Close,close
CLOSE,close
High,high
Low,low
Volume,volume
VOL,volume
VWAP,vwap_d
Adj Close,close
Adj_Close,close
SMA20,sma_20
SMA_20,sma_20
MA20,sma_20
EMA50,ema_50
EMA_50,ema_50
WMA20,wma_20
RSI14,rsi_14
RSI_14,rsi_14
BB_LOW20_2,bbl_20_2
BBL20_2,bbl_20_2
BB_MID20_2,bbm_20_2
BBM20_2,bbm_20_2
BB_HIGH20_2,bbh_20_2
BBH20_2,bbh_20_2
MACD,macd_12_26_9
MACD_LINE,macd_12_26_9
MACD_SIGNAL,macd_signal_12_26_9
MACD_HIST,macd_hist_12_26_9
ADX14,adx_14
DMI_PLUS14,dmp_14
PDI14,dmp_14
DMP_14,dmp_14
DMI_MINUS14,dmn_14
NDI14,dmn_14
DMN_14,dmn_14
AROONU_14,aroon_up_14
AROOND_14,aroon_down_14
AroonUp14,aroon_up_14
AroonDown14,aroon_down_14
STOCHRSI_K,stochrsi_k_14_14_3
STOCHRSI_D,stochrsi_d_14_14_3
RelVol,relative_volume
Relative Volume,relative_volume
CHANGE_1D,change_1d_percent
Change1D,change_1d_percent
CHANGE_1W,change_1w_percent
Change1W,change_1w_percent
